Tag,Given Sample Name,Sample Type,Latitude (N),Longitude (E),Geohash,MAAT,MAF,pH,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,Reference,Citation No.,DOI
0001wqzv3c2,Cao_2020 S1,Soil,38.9,112.23,wqzv3c,4.3,12.1,NA,0.143432021,0.160678356,0.004886462,0.01336591,0,0,0.128197758,0.256395516,0.041391204,0.105921242,0.001437195,0.00258695,0.086662834,0.046996263,0.00804829,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0002wqzv3c2,Cao_2020 S2,Soil,38.9,112.23,wqzv3c,4.3,12.1,NA,0.125057471,0.194482759,0.007816092,0.012873563,0,0.003218391,0.094252874,0.277701149,0.04091954,0.095632184,0,0.005057471,0.094712644,0.03954023,0.008735632,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0003wqzv3c2,Cao_2020 S3,Soil,38.9,112.23,wqzv3c,4.3,12.1,NA,0.122994652,0.136120564,0,0.004375304,0,0,0.233349538,0.227029655,0.021390374,0.051045211,0,0.001458435,0.156538649,0.039377735,0.006319883,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0004wqzv3c2,Cao_2020 S4,Soil,38.9,112.23,wqzv3c,4.3,12.1,NA,0.120265781,0.143521595,0.003654485,0.010631229,0,0,0.164784053,0.268770764,0.028239203,0.084385382,0,0.002325581,0.124252492,0.042857143,0.006312292,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0005wqzv3c2,Cao_2020 S5,Soil,38.9,112.23,wqzv3c,4.3,12.1,NA,0.11051574,0.170797053,0.005358339,0.012726055,0,0,0.141326189,0.278633624,0.034829203,0.074346952,0.003348962,0.003348962,0.114534494,0.040187542,0.010046885,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0006wqzv3c2,Cao_2020 D_avg,Lacustrine,38.9,112.23,wqzv3c,4.3,12.1,8.44,0.182183978,0.172733127,0.017084765,0.013224966,0.001901388,0.001225031,0.132877591,0.18677884,0.081522584,0.063331109,0.00578124,0.003641157,0.083604359,0.046072316,0.008037548,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0007wqzv3c2,Cao_2020 Water-1 m Sept,Lacustrine,38.9,112.23,wqzv3c,4.3,12.1,NA,0.162356416,0.103832708,0.014139353,0.013771208,0.002427191,0.002183188,0.193765785,0.190383984,0.076271743,0.058988884,0.005656312,0.005660593,0.110590602,0.049977883,0.00999415,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0008wqzv3c2,Cao_2020 Water-3 m Sept,Lacustrine,38.9,112.23,wqzv3c,4.3,12.1,NA,0.155110074,0.132715517,0.013493904,0.009926224,0.002048961,0,0.173349975,0.20019595,0.082253028,0.061244084,0.007840168,0.00636509,0.106825288,0.039916558,0.008715177,Cao et al. (2020),2,10.5194/bg-17-2521-2020
0009wqzv3c2,Cao_2020 Water-6 m Sept,Lacustrine,38.9,112.23,wqzv3c,4.3,12.1,NA,0.161883001,0.136846674,0.015377513,0.009380113,0.002508313,0,0.179209296,0.168433549,0.092794823,0.064528963,0.00739729,0.005525097,0.09881137,0.048004732,0.009299268,Cao et al. (2020),2,10.5194/bg-17-2521-2020
000Awqzv3c2,Cao_2020 Water-1 m Jan,Lacustrine,38.9,112.23,wqzv3c,4.3,12.1,NA,0.170283502,0.142440037,0.014276981,0.010896085,0.002879526,0.002791049,0.169929594,0.190048743,0.083578656,0.058132115,0.007869097,0.004094075,0.096442686,0.037380221,0.008957633,Cao et al. (2020),2,10.5194/bg-17-2521-2020
